S.No.,Province/city,Capital ,Region,Area (in km),Population,Density (/km),% Urban,HDI (2012),GDP per capita  (2011 PPP US$)
55,Đồng Tháp province,Cao Lãnh,Mekong Delta,"3,383.85","1,608,000",473,19.1,0.718,"2,240.56"
56,Hậu Giang province,Vị Thanh,Mekong Delta,"1,621.70","743,000",452,25.4,0.743,"2,943.84"
57,Kiên Giang province,Rạch Giá,Mekong Delta,"6,348.78","1,727,000",271,28.3,0.750,"4,336.43"
58,Long An province,Tân An,Mekong Delta,"4,494.94","1,694,000",376,16.1,0.764,"4,012.39"
59,Sóc Trăng province,Sóc Trăng,Mekong Delta,"3,311.88","1,211,000",362,32.4,0.715,"2,835.46"
60,Tiền Giang province,Mỹ Tho,Mekong Delta,"2,510.61","1,794,000",703,14,0.770,"3,781.77"
61,Trà Vinh province,Trà Vinh,Mekong Delta,"2,358.26","1,019,000",428,17.2,0.717,"2,662.89"
62,Vĩnh Long province,Vĩnh Long,Mekong Delta,"1,525.73","1,031,000",670,16.6,0.757,"3,360.01"
63,Cần Thơ city,Ninh Kiều District,Mekong Delta,"1,438.96","1,250,000",858,69.7,0.788,"6,260.52"
,,,,,,,,,
https://www.downloadexcelfiles.com/,,,,,,,,,
